X,Y,Z,Land,Sea,LandUse,ClRiver50m,CRiver100m
269287.5,3115742.5,0,0,1,,,
269387.5,3115742.5,0,0,1,,,
269487.5,3115742.5,0,0,1,,,
269587.5,3115742.5,0,0,1,,,
269687.5,3115742.5,16.50399971,1,0,Arid land,,
269787.5,3115742.5,62.20999908,1,0,Arid land,,
269887.5,3115742.5,191.0800018,1,0,Arid land,,
269987.5,3115742.5,285.6319885,1,0,Arid land,,
270087.5,3115742.5,327.7799988,1,0,Arid land,,
270187.5,3115742.5,394.4200134,1,0,Arid land,,
270287.5,3115742.5,417.9100037,1,0,Arid land,,
270387.5,3115742.5,469.5700073,1,0,Arid land,,
270487.5,3115742.5,408.1799927,1,0,Arid land,,
270587.5,3115742.5,367.0599976,1,0,Arid land,,
270687.5,3115742.5,450.4299927,1,0,Arid land,,
270787.5,3115742.5,377.4400024,1,0,Arid land,,
270887.5,3115742.5,351.1300049,1,0,Arid land,,
270987.5,3115742.5,326.3099976,1,0,Arid land,,
271087.5,3115742.5,379.6199951,1,0,Arid land,1,1
271187.5,3115742.5,369.9899902,1,0,Arid land,1,1
271287.5,3115742.5,387.7200012,1,0,Arid land,1,1
271387.5,3115742.5,381.5599976,1,0,Arid land,1,1
271487.5,3115742.5,433.0710144,1,0,Arid land,1,1
271587.5,3115742.5,468.4599915,1,0,Arid land,,
271687.5,3115742.5,499.5599976,1,0,Arid land,,
271787.5,3115742.5,531.2000122,1,0,Arid land,,
271887.5,3115742.5,545.2299805,1,0,Arid land,,
271987.5,3115742.5,522.7000122,1,0,Arid land,,
272087.5,3115742.5,489.1700134,1,0,Arid land,1,1
272187.5,3115742.5,496.0499878,1,0,Arid land,,
272287.5,3115742.5,580.2800293,1,0,Arid land,,
272387.5,3115742.5,581.0200195,1,0,Arid land,,
272487.5,3115742.5,594.0100098,1,0,Arid land,,
272587.5,3115742.5,621.3900146,1,0,Arid land,,
272687.5,3115742.5,657.6799927,1,0,Arid land,,
272787.5,3115742.5,686.5300293,1,0,Arid land,,
272887.5,3115742.5,797.9000244,1,0,Forest,,
272987.5,3115742.5,924.6599731,1,0,Forest,,
273087.5,3115742.5,970.75,1,0,Forest,,
273187.5,3115742.5,994.2299805,1,0,Forest,,
273287.5,3115742.5,993.5,1,0,Forest,,
273387.5,3115742.5,967.0700073,1,0,Forest,1,1
273487.5,3115742.5,995.289978,1,0,Forest,,
273587.5,3115742.5,994.539978,1,0,Forest,1,1
273687.5,3115742.5,995.9819946,1,0,Forest,1,1
273787.5,3115742.5,1002.659973,1,0,Forest,1,1
273887.5,3115742.5,1029.36499,1,0,Forest,,
273987.5,3115742.5,1036.280029,1,0,Forest,,
274087.5,3115742.5,1037.428955,1,0,Forest,,
274187.5,3115742.5,1039.160034,1,0,Forest,,
274287.5,3115742.5,1042.859985,1,0,Forest,,
274387.5,3115742.5,1047.329956,1,0,Forest,,
274487.5,3115742.5,1059.01001,1,0,Forest,,
274587.5,3115742.5,1063.029053,1,0,Forest,,
274687.5,3115742.5,1075.699951,1,0,Forest,,
274787.5,3115742.5,1081.651001,1,0,Forest,,
269287.5,3115842.5,0,0,1,,,
269387.5,3115842.5,0,0,1,,,
269487.5,3115842.5,0,0,1,,,
269587.5,3115842.5,0,1,0,Arid land,,
269687.5,3115842.5,23.19799995,1,0,Arid land,,
269787.5,3115842.5,102.6399994,1,0,Arid land,,
269887.5,3115842.5,164.7200012,1,0,Arid land,,
269987.5,3115842.5,189.1900024,1,0,Arid land,,
270087.5,3115842.5,241.7700043,1,0,Arid land,,
270187.5,3115842.5,305.4100037,1,0,Arid land,,
270287.5,3115842.5,360.7000122,1,0,Arid land,1,1
270387.5,3115842.5,450.9599915,1,0,Arid land,,
270487.5,3115842.5,409.3900146,1,0,Arid land,,
270587.5,3115842.5,396.7900085,1,0,Arid land,,
270687.5,3115842.5,458.3900146,1,0,Arid land,,
270787.5,3115842.5,450.769989,1,0,Arid land,,
270887.5,3115842.5,449.3500061,1,0,Arid land,,
270987.5,3115842.5,377.0599976,1,0,Arid land,,
271087.5,3115842.5,452.6799927,1,0,Arid land,,
271187.5,3115842.5,427.4599915,1,0,Arid land,,
271287.5,3115842.5,434.8599854,1,0,Arid land,,
271387.5,3115842.5,439.5499878,1,0,Arid land,1,1
271487.5,3115842.5,453.7099915,1,0,Arid land,,
271587.5,3115842.5,503.0899963,1,0,Arid land,,
271687.5,3115842.5,540.4199829,1,0,Arid land,,
271787.5,3115842.5,547.789978,1,0,Arid land,,
271887.5,3115842.5,533.9299927,1,0,Arid land,,
271987.5,3115842.5,478.8500061,1,0,Arid land,,
272087.5,3115842.5,462.480011,1,0,Arid land,1,1
272187.5,3115842.5,481.7399902,1,0,Arid land,,
272287.5,3115842.5,550.960022,1,0,Arid land,,
272387.5,3115842.5,544.2700195,1,0,Arid land,,
272487.5,3115842.5,564.2199707,1,0,Arid land,,
272587.5,3115842.5,590.5300293,1,0,Arid land,,
272687.5,3115842.5,625.8499756,1,0,Arid land,,
272787.5,3115842.5,665.7999878,1,0,Arid land,,
272887.5,3115842.5,737.960022,1,0,Arid land,,
272987.5,3115842.5,806.8400269,1,0,Forest,,
273087.5,3115842.5,950.9500122,1,0,Forest,,
273187.5,3115842.5,977.25,1,0,Forest,,
273287.5,3115842.5,988.2299805,1,0,Forest,,
273387.5,3115842.5,984.8410034,1,0,Forest,1,1
273487.5,3115842.5,999.5100098,1,0,Forest,,
273587.5,3115842.5,1016.450012,1,0,Forest,,
273687.5,3115842.5,1018.070007,1,0,Forest,,
273787.5,3115842.5,1023.049988,1,0,Forest,,
273887.5,3115842.5,1034.790039,1,0,Forest,,
273987.5,3115842.5,1037.009033,1,0,Forest,,
274087.5,3115842.5,1040.869995,1,0,Forest,,
274187.5,3115842.5,1040.94397,1,0,Forest,,
274287.5,3115842.5,1041.579956,1,0,Forest,,
274387.5,3115842.5,1046.400024,1,0,Forest,,
274487.5,3115842.5,1051.439941,1,0,Forest,,
274587.5,3115842.5,1052.310059,1,0,Forest,,
274687.5,3115842.5,1075.160034,1,0,Forest,,
274787.5,3115842.5,1078.02002,1,0,Forest,,
269287.5,3115942.5,0,0,1,,,
269387.5,3115942.5,0,0,1,,,
269487.5,3115942.5,0,0,1,,,
269587.5,3115942.5,0,0,1,,,
269687.5,3115942.5,0,1,0,Arid land,,
269787.5,3115942.5,0.856000006,1,0,Arid land,,
269887.5,3115942.5,69.65000153,1,0,Arid land,1,1
269987.5,3115942.5,108.7900009,1,0,Arid land,1,1
270087.5,3115942.5,178.2200012,1,0,Arid land,1,1
270187.5,3115942.5,271.4899902,1,0,Arid land,1,1
270287.5,3115942.5,430.6499939,1,0,Arid land,,
270387.5,3115942.5,488.1099854,1,0,Arid land,,
270487.5,3115942.5,436.6499939,1,0,Arid land,,
270587.5,3115942.5,419.4100037,1,0,Arid land,,
270687.5,3115942.5,513.1400146,1,0,Arid land,,
270787.5,3115942.5,493.2999878,1,0,Arid land,,
270887.5,3115942.5,492.2900085,1,0,Arid land,,
270987.5,3115942.5,445.6499939,1,0,Arid land,,
271087.5,3115942.5,488.2200012,1,0,Arid land,,
271187.5,3115942.5,527.3099976,1,0,Arid land,,
271287.5,3115942.5,517.8099976,1,0,Arid land,,
271387.5,3115942.5,495.8099976,1,0,Arid land,,
271487.5,3115942.5,496.1600037,1,0,Arid land,,
271587.5,3115942.5,519.7000122,1,0,Arid land,,
271687.5,3115942.5,522.4550171,1,0,Arid land,,
271787.5,3115942.5,512.2199707,1,0,Arid land,,
271887.5,3115942.5,507.5799866,1,0,Arid land,,
271987.5,3115942.5,491.5299988,1,0,Arid land,,
272087.5,3115942.5,435.8900146,1,0,Arid land,1,1
272187.5,3115942.5,462.9400024,1,0,Arid land,,
272287.5,3115942.5,508.1499939,1,0,Arid land,,
272387.5,3115942.5,521.0200195,1,0,Arid land,,
272487.5,3115942.5,538.1599731,1,0,Arid land,,
272587.5,3115942.5,560.8900146,1,0,Arid land,,
272687.5,3115942.5,602.6699829,1,0,Arid land,,
272787.5,3115942.5,625.9699707,1,0,Arid land,,
272887.5,3115942.5,656.6599731,1,0,Arid land,,
272987.5,3115942.5,710.8400269,1,0,Arid land,,
273087.5,3115942.5,904.8400269,1,0,Forest,,
273187.5,3115942.5,929.0900269,1,0,Forest,,
273287.5,3115942.5,959.2800293,1,0,Forest,,
273387.5,3115942.5,985.0800171,1,0,Forest,1,1
273487.5,3115942.5,989.7199707,1,0,Forest,,
273587.5,3115942.5,998.9500122,1,0,Forest,,
273687.5,3115942.5,1012.48999,1,0,Forest,,
273787.5,3115942.5,1023.078979,1,0,Forest,,
273887.5,3115942.5,1032.180054,1,0,Forest,,
273987.5,3115942.5,1035.530029,1,0,Forest,,
274087.5,3115942.5,1040.859985,1,0,Forest,,
274187.5,3115942.5,1040.869995,1,0,Forest,,
274287.5,3115942.5,1043.579956,1,0,Forest,,
274387.5,3115942.5,1044.400024,1,0,Forest,,
274487.5,3115942.5,1045.01001,1,0,Forest,,
274587.5,3115942.5,1058.219971,1,0,Forest,,
274687.5,3115942.5,1040.810059,1,0,Forest,,
274787.5,3115942.5,1048.060059,1,0,Forest,,
269287.5,3116042.5,0,0,1,,,
269387.5,3116042.5,0,0,1,,,
269487.5,3116042.5,0,0,1,,,
269587.5,3116042.5,0,0,1,,,
269687.5,3116042.5,0,0,1,,,
